"Date","Price","Open","High","Low","Change %"
"Jul 20, 2017","82.78","82.42","83.09","82.25","0.49%"
"Jul 19, 2017","82.38","82.38","82.80","82.11","0.00%"
"Jul 18, 2017","82.38","82.39","82.64","81.69","-0.06%"
"Jul 17, 2017","82.43","82.66","82.86","82.31","-0.30%"
"Jul 14, 2017","82.68","82.92","83.20","82.32","-0.35%"
"Jul 13, 2017","82.97","82.15","83.29","82.05","1.01%"
"Jul 12, 2017","82.14","82.31","82.39","81.92","-0.22%"
"Jul 11, 2017","82.32","82.94","83.04","82.16","-0.78%"
"Jul 10, 2017","82.97","82.91","83.22","82.72","0.04%"
"Jul 07, 2017","82.94","82.36","83.06","82.28","0.68%"
"Jul 06, 2017","82.38","82.56","82.64","82.07","-0.22%"
"Jul 05, 2017","82.56","82.58","82.69","82.08","-0.02%"
"Jul 04, 2017","82.58","82.71","82.80","82.05","-0.13%"
"Jul 03, 2017","82.69","82.06","82.86","81.91","0.33%"
"Jun 30, 2017","82.42","81.88","82.52","81.70","0.63%"
"Jun 29, 2017","81.90","82.04","82.41","81.41","-0.18%"
"Jun 28, 2017","82.05","81.69","82.14","81.30","0.44%"
"Jun 27, 2017","81.69","81.53","81.91","81.39","0.20%"
"Jun 26, 2017","81.53","80.92","81.66","80.78","0.54%"
"Jun 23, 2017","81.09","80.87","81.23","80.74","0.26%"
"Jun 22, 2017","80.88","80.51","81.03","80.13","0.45%"
"Jun 21, 2017","80.52","80.70","80.78","80.28","-0.22%"
"Jun 20, 2017","80.70","80.69","81.14","80.53","0.02%"
"Jun 19, 2017","80.68","80.46","81.06","80.32","0.36%"
"Jun 16, 2017","80.39","79.94","80.69","79.83","0.55%"
"Jun 15, 2017","79.95","79.64","80.04","78.99","0.36%"
"Jun 14, 2017","79.66","79.51","80.07","79.27","0.24%"
"Jun 13, 2017","79.47","79.12","79.58","79.00","0.39%"
"Jun 12, 2017","79.16","79.50","79.67","78.94","-0.52%"
"Jun 09, 2017","79.57","79.38","79.77","78.94","0.24%"
"Jun 08, 2017","79.38","79.03","79.60","78.84","0.47%"
"Jun 07, 2017","79.01","78.63","79.09","78.49","0.51%"
"Jun 06, 2017","78.61","78.83","78.91","78.38","-0.29%"
"Jun 05, 2017","78.84","78.63","79.01","78.58","-0.01%"
"Jun 02, 2017","78.85","78.62","79.25","78.58","0.31%"
"Jun 01, 2017","78.61","78.47","78.78","78.31","0.18%"
"May 31, 2017","78.47","78.66","79.00","78.36","-0.24%"
"May 30, 2017","78.66","78.52","78.75","77.97","0.18%"
"May 29, 2017","78.52","78.56","78.94","78.31","-0.13%"
"May 26, 2017","78.62","78.56","78.73","78.16","0.10%"
"May 25, 2017","78.54","78.57","78.88","78.45","-0.05%"
"May 24, 2017","78.58","78.36","78.77","78.17","0.24%"
"May 23, 2017","78.39","77.86","78.44","77.64","0.68%"
"May 22, 2017","77.86","77.13","77.91","76.75","1.01%"
"May 19, 2017","77.08","76.91","77.33","76.48","0.21%"
"May 18, 2017","76.92","76.94","77.25","76.26","-0.03%"
"May 17, 2017","76.94","77.86","77.92","76.77","-1.18%"
"May 16, 2017","77.86","78.28","78.52","77.74","-0.56%"
"May 15, 2017","78.30","77.43","78.52","77.42","0.64%"
"May 12, 2017","77.80","77.99","78.00","77.53","-0.23%"
"May 11, 2017","77.98","79.36","79.39","77.67","-1.70%"
"May 10, 2017","79.33","78.62","79.39","78.36","0.92%"
"May 09, 2017","78.61","78.22","78.92","78.06","0.50%"
"May 08, 2017","78.22","78.12","78.30","77.61","0.32%"
"May 05, 2017","77.97","77.24","78.12","76.97","0.93%"
"May 04, 2017","77.25","77.54","77.78","76.98","-0.39%"
"May 03, 2017","77.55","77.67","78.06","77.35","-0.14%"
"May 02, 2017","77.66","77.24","77.77","77.17","0.53%"
"May 01, 2017","77.25","76.43","77.35","76.23","0.84%"
"Apr 28, 2017","76.61","76.48","76.66","76.34","0.10%"
"Apr 27, 2017","76.53","76.52","77.02","76.12","0.00%"
"Apr 26, 2017","76.53","77.25","77.42","76.40","-0.89%"
"Apr 25, 2017","77.22","77.02","77.29","76.66","0.26%"
"Apr 24, 2017","77.02","76.76","77.93","76.76","0.39%"
"Apr 21, 2017","76.72","76.65","76.82","76.31","0.08%"
"Apr 20, 2017","76.66","76.23","76.78","76.17","0.54%"
"Apr 19, 2017","76.25","76.35","76.61","76.07","-0.14%"
"Apr 18, 2017","76.36","76.27","76.67","76.16","0.07%"
"Apr 17, 2017","76.31","75.94","76.47","75.88","0.37%"
"Apr 14, 2017","76.03","76.36","76.50","75.94","-0.42%"
"Apr 13, 2017","76.35","75.98","76.63","75.90","0.49%"
"Apr 12, 2017","75.98","76.30","76.41","75.67","-0.42%"
"Apr 11, 2017","76.30","77.25","77.30","76.16","-1.20%"
"Apr 10, 2017","77.23","77.13","77.47","76.95","0.26%"
"Apr 07, 2017","77.03","77.23","77.41","76.67","-0.27%"
"Apr 06, 2017","77.24","77.09","77.49","76.86","0.19%"
"Apr 05, 2017","77.09","77.23","77.55","77.03","-0.17%"
"Apr 04, 2017","77.22","77.79","77.85","76.94","-0.72%"
"Apr 03, 2017","77.78","78.03","78.22","77.57","-0.36%"
"Mar 31, 2017","78.06","78.28","78.42","77.83","-0.29%"
"Mar 30, 2017","78.29","78.10","78.36","77.76","0.24%"
"Mar 29, 2017","78.10","77.95","78.19","77.70","0.17%"
"Mar 28, 2017","77.97","77.97","78.16","77.47","0.00%"
"Mar 27, 2017","77.97","78.11","78.20","77.59","-0.38%"
"Mar 24, 2017","78.27","78.00","78.33","77.81","0.37%"
"Mar 23, 2017","77.98","78.30","78.55","77.81","-0.42%"
"Mar 22, 2017","78.31","78.67","78.78","78.00","-0.46%"
"Mar 21, 2017","78.67","79.41","79.61","78.55","-0.93%"
"Mar 20, 2017","79.41","79.05","79.58","78.81","0.42%"
"Mar 17, 2017","79.08","79.22","79.61","78.91","-0.11%"
"Mar 16, 2017","79.17","79.86","79.91","78.83","-0.89%"
"Mar 15, 2017","79.88","79.39","79.98","79.30","0.60%"
"Mar 14, 2017","79.40","79.54","79.62","79.29","-0.18%"
"Mar 13, 2017","79.54","79.50","79.75","79.32","0.14%"
"Mar 10, 2017","79.43","79.32","80.09","79.24","0.13%"
"Mar 09, 2017","79.33","79.08","79.45","78.89","0.32%"
"Mar 08, 2017","79.08","79.25","79.52","78.92","-0.24%"
"Mar 07, 2017","79.27","79.67","80.00","79.24","-0.48%"
"Mar 06, 2017","79.65","80.20","80.30","79.60","-0.80%"
"Mar 03, 2017","80.29","80.87","80.92","80.17","-0.64%"
"Mar 02, 2017","80.81","81.25","81.53","80.70","-0.54%"
"Mar 01, 2017","81.25","81.11","81.48","80.64","0.17%"
"Feb 28, 2017","81.11","81.14","81.17","80.66","0.04%"
"Feb 27, 2017","81.08","80.72","81.25","80.50","0.32%"
"Feb 24, 2017","80.82","81.44","81.64","80.53","-0.71%"
"Feb 23, 2017","81.40","81.47","81.77","81.30","-0.07%"
